"Age","Weight","Height","Abdomen","Hip","Neck","Thigh","Ankle","Biceps","Forearm","bodyfat"
64,190.25,72.75,97.8,99.6,39.3,58.9,23,34.3,29.6,18.4
70,170.75,70,94.9,95,38.7,56,24.1,31.2,27.3,27
72,168,69.25,99.8,96.2,38.5,56.3,22,29.7,26.3,27
67,167,67.5,89.7,96.2,36.5,54.7,33.7,32.4,27.7,26.6
72,157.75,67.25,88.1,96.9,37.7,57.2,21.8,32.6,28,14.9
64,160,65.75,90.9,93.8,36.5,57.8,23.3,29.2,28.4,23.1
46,176.75,72.5,86,99.3,38,61,23.8,30.2,29.3,8.3
48,176,73,86.5,98.3,36.7,60.4,24.4,28.8,29.6,14.1
46,177,70,95.6,102.2,37.2,58.3,22.5,29.1,27.7,20.5
44,179.75,69.5,93.2,100.6,39.2,58.9,23.1,31.4,28.4,18.2
47,165.25,70.5,83.1,95.4,37.5,56.9,22.1,30.1,28.2,8.5
46,192.5,71.75,97.5,100.6,38,58.9,24.5,33.3,29.6,24.9
47,184.25,74.5,88.8,101.4,37.3,57.4,24.6,30.3,27.9,9
53,224.5,77.75,99.2,107.5,41.1,61.7,23.2,32.9,30.8,17.4
38,188.75,73.25,91.6,102.4,37.5,60.6,22.9,31.6,30.1,9.6
50,162.5,66.5,86.7,96.2,38.7,62.1,23.3,30.6,27.8,11.3
46,156.5,68.25,88.2,92.8,35.9,54.7,21.9,31.6,27.5,17.8
47,197,72,94,103.7,40,62.7,22.3,35.3,30.9,22.2
49,198.5,73.5,95,101.7,40.1,59,22.3,32.2,31,21.2
48,173.75,72,92,98.3,37,59.3,22.4,27.9,26.2,20.4
41,172.75,71.25,89.2,98.3,36.3,60,23.2,31,29.2,20.1
49,196.75,73.75,95.5,101.6,40.7,59.1,25.4,31,30.3,22.3
43,177,69.25,98.6,99.5,39.6,59.5,22,30.1,27.2,25.4
43,165.5,68.5,87.3,96.6,31.1,54.7,24.8,31,29.4,18
43,200.25,73.5,102.8,103.6,38.6,61.2,23.5,30.5,28.5,19.3
52,203.25,74.25,101.6,100.7,42,55.8,23.4,35.1,29.6,18.3
43,194,75.5,88.7,102.1,38.5,57.5,24.8,35.1,30.7,17.3
40,168.5,69.25,92.3,100.6,34.2,57.5,22.8,32.1,26,21.4
43,170.75,68.5,90.6,99.3,37.2,61.9,22.3,33.3,28.2,19.7
43,183.25,70,105,103,37.1,63.7,23.6,33.5,27.8,28
47,178.25,70,95,98.6,40.2,62.3,23.9,35.3,31.1,22.1
42,163,70.25,89.6,99.8,35.3,61.5,21.9,30.7,27.6,21.3
48,175.25,71.75,92.4,97.5,38,59.3,21.8,31.8,27.3,26.7
40,158,69.25,86.6,92.6,36.3,55.9,22.1,29.8,26.3,16.7
48,177.25,72.75,90,99.7,36.8,58.8,22.8,29.9,28,20.1
51,179,72,90,96.4,41,56.8,23.3,33.4,29.8,13.9
40,191,74,92.4,104.3,38.3,64.6,24.8,33.6,29.5,25.8
44,187.5,72.25,87.5,101,38,58.5,24.5,32.1,28.6,18.1
52,206.5,74.5,99.2,104.1,40.8,58.5,24.6,33.9,31.2,27.9
44,185.25,71.5,98.1,101.4,39.5,57.1,23.2,33,29.6,25.3
40,160.25,68.75,83.3,97.5,36.9,60.5,22.6,34.4,28,14.7
47,151.5,66.75,86.1,95.2,36.9,58.1,22.1,30.6,27.5,16
50,161,66.5,84.1,94,37.7,58.5,23.5,34.4,29.2,13.8
46,167,67,89.9,100,36.6,60.7,21.9,35.6,30.2,17.5
42,177.5,68.75,92.1,98.5,38.9,60.7,22.2,33.8,30.3,27.2
43,152.25,67.75,78,93.2,37.5,53.5,20.8,33.9,28.2,17.4
40,192.25,73.25,93.5,99.5,39.8,61.7,21.8,33.3,29.6,20.8
42,165.25,69.75,87,97.8,38.3,57.4,22.2,31.6,27.8,14.9
49,171.75,71.5,90.1,95.8,35.5,57,23.2,27.5,26.5,18.1
40,171.25,70.5,90.3,99.1,36.3,60.3,23,31.2,28.4,22.7
47,197,73.25,99.8,103.2,37.8,61.2,22.6,33.5,28.6,23.6
50,157,66.75,89.4,92.3,37.8,56.1,20.5,33.6,29.3,26.1
41,168.25,69.5,87.2,98.4,36.5,56,23,34,29.8,24.4
44,186,69.75,101.1,102.1,37.8,58.9,22.7,30.9,28.8,27.1
39,166.75,70.75,86.1,95.6,37,58.8,22.4,32.7,28.3,21.8
43,187.75,74,98.6,100.6,37.7,63.6,23.8,34.3,28.4,29.4
40,168.25,71.25,88.5,98.3,34.3,58.1,22.5,31.7,27.4,22.4
49,212.75,75,106.6,107.7,40.8,66.5,24.5,35.5,29.8,20.4
40,176.75,71,93.1,101.6,37.4,59.1,21.6,30.8,27.9,24.9
40,173.25,69.5,93,99.3,36.5,60.4,22,32,28.5,18.3
52,167,67.75,91,98.9,37.5,57.1,22.3,31.6,27.5,23.3
23,159.75,72.25,77.1,93.9,35.5,56.1,22.7,30.5,27.2,9.4
23,188.15,77.5,85.3,102.5,38,59.1,23.2,31.8,29.7,10.3
24,156,70.75,81.9,95.3,35.7,56.4,22,33.5,28.3,14.2
24,208.5,72.75,99.1,110.1,39.2,71.2,25.2,36.1,30.3,19.2
25,206.5,69.75,100.5,106.2,40.9,68.4,24.6,33.3,29.7,29.6
25,143.75,72.5,76.5,92.1,35.2,51.9,22,25.8,25.2,5.3
26,223,70.25,106.8,113.9,40.6,67.6,24.7,36,30.4,25.2
26,152.25,69,77.6,93.5,35.4,56.9,20.4,31.6,29,9.4
26,241.75,74.5,102.9,114.4,41.8,72.9,25.1,38.5,33.8,19.6
27,146,72.25,72.8,91.1,34.1,53.6,23.8,27.8,26.3,10.1
27,156.75,67.25,88.2,95.2,37.9,56.8,22.8,30.6,28.3,16.5
27,200.25,73.5,100.1,105,38.2,62.1,24.9,33.7,29.2,21
28,171.5,75.25,83.5,98.3,35.6,57.3,21.7,32.2,27.7,17.3
28,205.75,69,105,106.4,38.5,68.6,25.2,35.2,30.7,31.2
28,182.5,72.25,90.8,102.5,37,60.8,25,31.6,28,10
30,136.5,68.75,76.6,89.8,35.9,50.1,21.8,27,34.9,12.5
31,177.25,71.5,92.4,99.3,36.2,59.4,24.6,30.1,28.2,22.5
31,151.25,72.25,81.2,91.5,35,52.5,21,27,26.3,9.4
33,196,73,95.6,105.1,38.5,61.4,25,31.3,29.2,14.6
33,184.25,68.75,92.1,103.5,40.7,64,23.5,33.5,30.6,13
34,140,70.5,83.4,89.6,36,52.4,20.4,28.3,26.2,15.1
34,218.75,72,106,108.8,39.5,63.8,23.4,34,31.2,27.3
35,217,73.75,95.1,104.5,40.5,64.8,25.6,36.4,33.7,19.2
35,166.25,68,90.4,95.6,38.5,55.5,21.9,30.2,28.7,21.8
35,224.75,72.25,100.4,106.8,43.9,63.3,24.6,37.2,33.1,20.3
35,228.25,69.5,115.9,111.9,40.4,74.4,24,36.1,31.8,34.3
35,172.75,69.5,90.8,98.1,37.6,60.1,23.4,32.5,29.8,16.5
35,152.25,67.75,81.9,92.8,37,54.7,22.1,30.4,27.4,3
35,125.75,65.5,75,89.2,34,50,22,24.8,25.9,0.7
35,177.25,71,90.3,98.7,38.4,57.8,22.4,31,28.7,20.5
36,176.25,71.5,90.3,99.9,38.7,59.2,21.5,32.4,28.4,16.9
36,226.75,71.75,108.8,114.4,41.5,69.2,24,35.4,21,25.3
37,145.25,69.25,79.4,89.2,36,50.3,22.2,31,26.9,9.9
37,151,67,83.2,96.4,35.3,60,22,31.5,26.6,13.1
37,241.25,71.5,110.3,113.9,42.1,69.8,24.8,34.4,29.5,29.9
38,187.25,69.25,92.7,101.9,38,64.7,24.7,34.8,30.3,22.5
39,234.75,74.5,104.5,109.9,42.8,69.5,25.8,39.1,32.5,16.9
39,219.25,74.25,104.6,109.8,40,68.1,24.1,35.6,29,26.6
40,118.5,68,69.4,85,33.8,47.2,20.2,27.7,24.6,0
40,145.75,67.25,83.6,91.6,35.5,54.1,21.8,31.4,28.3,11.5
40,159.25,69.75,86.8,96.1,35.3,58,22.7,30,26.4,12.1
40,170.5,74.25,90.4,95.5,37.7,55.4,22.4,30.5,28.9,17.5
40,167.5,71.5,83.7,98.1,39.4,57.3,22.6,32.9,29.3,8.6
41,232.75,74.25,109.3,108.8,41.9,67.7,24.7,37.2,31.8,23.6
41,210.5,72,98.9,104.1,38.5,63.5,23.5,36.4,30.4,20.4
41,202.25,72.5,98,101.8,40.8,62.8,24.8,36.6,32.4,20.5
41,185,68.25,101.2,103.1,38,61.5,22.9,33.4,29.2,24.4
41,153,69.25,80.6,92.3,36.4,54.3,21.8,29.6,27.3,11.4
42,244.25,76,113.7,112.4,41.8,68.5,25.5,37.1,31.2,38.1
42,193.5,70.5,94.1,102.7,40.7,60.6,24.7,34,30.1,15.9
42,224.75,74.75,105.7,111.8,38.5,65.3,26,33.7,29.9,24.7
42,162.75,72.75,85.6,96.5,35.4,60.2,22.4,31.7,27.1,22.8
42,180,68.25,96.6,100.6,38.5,61.1,24.1,32.9,29.8,25.5
42,156.25,69,86,96.2,35.5,57.7,24,31.2,27.3,22
42,168,71.5,89.7,101,36.5,62.3,22.3,30.8,27.8,17.7
42,167.25,72.75,78,99,37.6,57.5,22.5,30.6,30,6.6
43,170.75,67.5,89.7,94.2,37.4,58.5,24.1,33.8,28.8,23.6
43,178.25,70.25,89.2,99.2,37.8,60.2,23.8,31.7,28.4,12.2
43,150,69.25,85.7,96.9,35.2,55.5,22,29.4,26.6,22.1
43,200.5,71.5,103.1,105.5,37.9,68.8,23.7,32.1,28.9,28.7
44,184,74,89.1,102.6,37.9,60.6,24,32.9,29.2,6
44,223,69.75,113.9,107.1,40.9,63.5,21.8,34.8,30.7,34.8
44,208.75,73,96.3,102,41.9,63.3,24.1,37.3,23.1,16.6
44,166,65.5,93.9,100.1,39.1,58.9,21.4,33.1,29.5,32.9
47,195,72.5,101.3,101.7,40.2,60.7,23.3,36.7,31.6,32.8
47,160.5,70.25,83.9,91.8,36,53,22.5,31.4,27.5,9.6
47,159.75,70.75,84.4,94,34.5,56,22.6,29,26.2,10.8
49,140.5,68,79.4,89,35.8,51.1,21.7,30.9,28.8,7.1
49,216.25,74.5,104,109,40.2,63.7,23.2,36.8,31,27.2
49,168.25,71.75,89.7,99.1,38.3,56.3,23,29.5,27.9,19.5
50,194.75,70.75,97.6,104.2,39,60,25.5,32.7,30,18.7
50,172.75,73,87.6,96.1,37.4,57.1,21.8,28.6,26.7,19.5
51,219,64,122.1,112.8,41.2,62.5,23.6,34.7,29.1,47.5
51,149.25,69.75,81.1,96.3,34.8,53.8,21.5,31.3,26.3,13.6
51,154.5,70,81.5,94.4,36.9,54.7,22.6,27.5,25.9,7.5
52,199.25,71.75,100,105,39.4,63.9,22.9,35.7,30.4,24.5
53,154.5,69.25,88.7,94.5,37.6,53.7,22,28.5,25.7,15
54,153.25,70.5,91.8,96.2,38.5,57.7,23.9,31.4,29.9,12.4
54,230,72.25,110.4,105.5,42.5,64.2,27,38.4,32,26
54,161.75,67.5,87.6,95.6,37.4,59.7,23.4,27.9,27,11.5
55,142.25,67.25,82.8,91.9,35.2,54.4,22.5,29.4,26.8,5.2
55,179.75,68.75,95.3,98.2,41.1,57.4,21.8,34.1,31.1,10.9
55,126.5,66.75,78.2,87.5,33.4,50.8,19.7,25.3,22,12.5
55,169.5,68.25,91.1,97.1,37.2,56.6,22.6,33.4,29.3,14.8
55,198.5,74.25,96.7,106.6,38.3,64,23.4,33.2,30,25.2
56,174.5,69.5,89.4,98.4,38.1,58.4,22.5,34.6,30.1,14.9
56,167.75,68.5,93,97,37.4,55.4,23.2,32.4,29.7,17
57,147.75,65.75,86.4,90.1,35.2,53,21.3,31.7,27.3,10.6
57,182.25,71.75,96.7,100.7,39.4,59.3,22.8,31.8,29.1,16.1
58,175.5,71.5,88.1,97.8,38,57.1,23.6,30.9,29.6,15.4
58,161.75,67.25,94.9,100.2,35.1,56.8,21,27.8,26.1,26.7
60,157.75,67.5,93.3,94,40.4,54.3,21,31.3,28.7,25.8
62,168.75,67.5,95.6,93.7,38.3,54.4,22.7,30.3,26.3,18.6
62,191.5,72.25,98.2,101.1,40.6,59.3,23,32.6,28.5,24.8
63,219.15,69.5,113.8,111.8,40.2,63.4,22.3,35.1,29.6,27.3
64,155.25,69.5,82.8,94.5,37.9,61.2,22.3,29.8,28.9,12.4
65,189.75,65.75,100.5,100.5,40.8,59.2,24,35.9,30.5,29.9
65,127.5,65.75,79.7,87.6,34.7,50.7,20.1,28.5,24.8,17
65,224.5,68.25,118,114.3,38.8,61.3,23.4,34.9,30.1,35
66,234.25,72,109,109.1,41.4,63.7,24.6,35.6,30.7,30.4
67,227.75,72.75,113.4,109.8,41.3,65.6,25.4,35.3,29.8,32.6
67,199.5,68.5,106.1,101.6,40.7,58.2,24.1,32.1,29.3,29
68,155.5,69.25,84.3,94.4,36.3,54.3,22.6,29.2,27.3,15.2
69,215.5,70.5,107.6,110,40.8,63.3,22.6,37.5,32.6,30.2
70,134.25,67,83.6,88.8,34.9,49.6,21.5,25.6,25.7,11
72,201,69.75,105,104.5,40.9,59.6,23.2,35.2,28.6,33.6
72,186.75,66,111.5,101.7,38.9,60.3,21.5,31.3,27.2,29.3
72,190.75,70.5,101.3,97.8,38.9,56,22.7,30.5,29.4,26
74,207.5,70,108.5,107.1,40.8,59.3,24.6,33.7,30,31.9
